x,Numerical solution,Analytical solution
0,-27.0736,5
0.030303,13.5368,4.94272
0.0606061,2.46939,4.77218
0.0909091,5.10932,4.4923
0.121212,3.94415,4.10949
0.151515,3.67681,3.63252
0.181818,3.06044,3.07232
0.212121,2.44489,2.44172
0.242424,1.75431,1.75517
0.272727,1.02863,1.02841
0.30303,0.278019,0.278081
0.333333,-0.478602,-0.478618
0.363636,-1.22435,-1.22435
0.393939,-1.94202,-1.94203
0.424242,-2.6152,-2.61521
0.454545,-3.22846,-3.22847
0.484848,-3.76774,-3.76775
0.515152,-4.22069,-4.22071
0.545455,-4.57694,-4.57695
0.575758,-4.82831,-4.82833
0.606061,-4.96905,-4.96907
0.636364,-4.99594,-4.99596
0.666667,-4.90837,-4.90837
0.69697,-4.7083,-4.70832
0.727273,-4.40037,-4.40039
0.757576,-3.99162,-3.99163
0.787879,-3.49141,-3.49141
0.818182,-2.91119,-2.91119
0.848485,-2.26426,-2.26427
0.878788,-1.56546,-1.56547
0.909091,-0.8308,-0.830801
0.939394,-0.077093,-0.0770919
0.969697,0.678379,0.678381
1,1.4183,1.41831
1.0303,2.12574,2.12574
1.06061,2.78446,2.78447
1.09091,3.37938,3.37939
1.12121,3.89688,3.89689
1.15152,4.32508,4.32509
1.18182,4.65417,4.65419
1.21212,4.87664,4.87666
1.24242,4.98735,4.98738
1.27273,4.98383,4.98383
1.30303,4.86608,4.86608
1.33333,4.63681,4.63684
1.36364,4.30134,4.30135
1.39394,3.8673,3.86731
1.42424,3.34464,3.34465
1.45455,2.74535,2.74536
1.48485,2.08316,2.08317
1.51515,1.37324,1.37324
1.54545,0.631848,0.631849
1.57576,-0.124017,-0.124019
1.60606,-0.877048,-0.877046
1.63636,-1.60998,-1.60998
1.66667,-2.30601,-2.30602
1.69697,-2.94922,-2.94923
1.72727,-3.52484,-3.52486
1.75758,-4.0197,-4.01972
1.78788,-4.42246,-4.42248
1.81818,-4.72388,-4.72391
1.84848,-4.9171,-4.9171
1.87879,-4.99762,-4.99762
1.90909,-4.96361,-4.96364
1.93939,-4.8159,-4.81592
1.9697,-4.55784,-4.55786
2,-4.19534,-4.19536
2.0303,-3.73671,-3.73673
2.06061,-3.19249,-3.19249
2.09091,-2.57509,-2.57509
2.12121,-1.89868,-1.89869
2.15152,-1.17879,-1.17879
2.18182,-0.431876,-0.431878
2.21212,0.324929,0.324929
2.24242,1.07429,1.07429
2.27273,1.79904,1.79904
2.30303,2.48258,2.48257
2.33333,3.10919,3.10921
2.36364,3.6646,3.66461
2.39394,4.13603,4.13605
2.42424,4.5127,4.51271
2.45455,4.78596,4.78598
2.48485,4.94957,4.94958
2.51515,4.99976,4.99978
2.54545,4.93541,4.93542
2.57576,4.75799,4.75797
2.60606,4.47147,4.4715
2.63636,4.08256,4.08257
2.66667,3.60009,3.60011
2.69697,3.03514,3.03515
2.72727,2.40064,2.40065
2.75758,1.71114,1.71114
2.78788,0.982429,0.982426
2.81818,0.231199,0.231202
2.84848,-0.525313,-0.525319
2.87879,-1.26981,-1.2698
2.90909,-1.98514,-1.98519
2.93939,-2.65526,-2.6551
2.9697,-3.26352,-3.26416
3,-3.80079,-3.79844
