x,y,Analytical solution,Numerical solution
-0.99,-0.99,0.00039601,0.000393483
-0.99,-0.98,0.00078804,0.000782987
-0.99,-0.97,0.00117609,0.00116851
-0.99,-0.96,0.00156016,0.00155006
-0.99,-0.95,0.00194025,0.00192763
-0.99,-0.94,0.00231636,0.00230123
-0.99,-0.93,0.00268849,0.00267085
-0.99,-0.92,0.00305664,0.00303649
-0.99,-0.91,0.00342081,0.00339816
-0.99,-0.9,0.003781,0.00375586
-0.99,-0.89,0.00413721,0.00410958
-0.99,-0.88,0.00448944,0.00445933
-0.99,-0.87,0.00483769,0.00480511
-0.99,-0.86,0.00518196,0.00514692
-0.99,-0.85,0.00552225,0.00548476
-0.99,-0.84,0.00585856,0.00581862
-0.99,-0.83,0.00619089,0.00614852
-0.99,-0.82,0.00651924,0.00647445
-0.99,-0.81,0.00684361,0.00679641
-0.99,-0.8,0.007164,0.0071144
-0.99,-0.79,0.00748041,0.00742842
-0.99,-0.78,0.00779284,0.00773848
-0.99,-0.77,0.00810129,0.00804457
-0.99,-0.76,0.00840576,0.0083467
-0.99,-0.75,0.00870625,0.00864486
-0.99,-0.74,0.00900276,0.00893906
-0.99,-0.73,0.00929529,0.00922929
-0.99,-0.72,0.00958384,0.00951557
-0.99,-0.71,0.00986841,0.00979787
-0.99,-0.7,0.010149,0.0100762
-0.99,-0.69,0.0104256,0.0103506
-0.99,-0.68,0.0106982,0.010621
-0.99,-0.67,0.0109669,0.0108875
-0.99,-0.66,0.0112316,0.01115
-0.99,-0.65,0.0114923,0.0114085
-0.99,-0.64,0.011749,0.0116631
-0.99,-0.63,0.0120017,0.0119138
-0.99,-0.62,0.0122504,0.0121604
-0.99,-0.61,0.0124952,0.0124031
-0.99,-0.6,0.012736,0.0126419
-0.99,-0.59,0.0129728,0.0128767
-0.99,-0.58,0.0132056,0.0131075
-0.99,-0.57,0.0134345,0.0133344
-0.99,-0.56,0.0136594,0.0135573
-0.99,-0.55,0.0138803,0.0137763
-0.99,-0.54,0.0140972,0.0139914
-0.99,-0.53,0.0143101,0.0142024
-0.99,-0.52,0.014519,0.0144095
-0.99,-0.51,0.014724,0.0146127
-0.99,-0.5,0.014925,0.0148119
-0.99,-0.49,0.015122,0.0150072
-0.99,-0.48,0.015315,0.0151985
-0.99,-0.47,0.0155041,0.0153859
-0.99,-0.46,0.0156892,0.0155693
-0.99,-0.45,0.0158703,0.0157487
-0.99,-0.44,0.0160474,0.0159242
-0.99,-0.43,0.0162205,0.0160958
-0.99,-0.42,0.0163896,0.0162634
-0.99,-0.41,0.0165548,0.0164271
-0.99,-0.4,0.016716,0.0165868
-0.99,-0.39,0.0168732,0.0167425
-0.99,-0.38,0.0170264,0.0168944
-0.99,-0.37,0.0171757,0.0170422
-0.99,-0.36,0.017321,0.0171862
-0.99,-0.35,0.0174623,0.0173261
-0.99,-0.34,0.0175996,0.0174622
-0.99,-0.33,0.0177329,0.0175943
-0.99,-0.32,0.0178622,0.0177224
-0.99,-0.31,0.0179876,0.0178466
-0.99,-0.3,0.018109,0.0179669
-0.99,-0.29,0.0182264,0.0180832
-0.99,-0.28,0.0183398,0.0181955
-0.99,-0.27,0.0184493,0.018304
-0.99,-0.26,0.0185548,0.0184084
-0.99,-0.25,0.0186563,0.018509
-0.99,-0.24,0.0187538,0.0186055
-0.99,-0.23,0.0188473,0.0186982
-0.99,-0.22,0.0189368,0.0187869
-0.99,-0.21,0.0190224,0.0188717
-0.99,-0.2,0.019104,0.0189525
-0.99,-0.19,0.0191816,0.0190293
-0.99,-0.18,0.0192552,0.0191023
-0.99,-0.17,0.0193249,0.0191713
-0.99,-0.16,0.0193906,0.0192363
-0.99,-0.15,0.0194523,0.0192974
-0.99,-0.14,0.01951,0.0193546
-0.99,-0.13,0.0195637,0.0194078
-0.99,-0.12,0.0196134,0.0194571
-0.99,-0.11,0.0196592,0.0195024
-0.99,-0.1,0.019701,0.0195438
-0.99,-0.09,0.0197388,0.0195813
-0.99,-0.08,0.0197726,0.0196148
-0.99,-0.07,0.0198025,0.0196444
-0.99,-0.06,0.0198284,0.01967
-0.99,-0.05,0.0198503,0.0196917
-0.99,-0.04,0.0198682,0.0197095
-0.99,-0.03,0.0198821,0.0197233
-0.99,-0.02,0.019892,0.0197331
-0.99,-0.01,0.019898,0.0197391
-0.99,0,0.0199,0.0197411
-0.99,0.01,0.019898,0.0197391
-0.99,0.02,0.019892,0.0197332
-0.99,0.03,0.0198821,0.0197234
-0.99,0.04,0.0198682,0.0197096
-0.99,0.05,0.0198503,0.0196919
-0.99,0.06,0.0198284,0.0196702
-0.99,0.07,0.0198025,0.0196446
-0.99,0.08,0.0197726,0.0196151
-0.99,0.09,0.0197388,0.0195816
-0.99,0.1,0.019701,0.0195442
-0.99,0.11,0.0196592,0.0195029
-0.99,0.12,0.0196134,0.0194575
-0.99,0.13,0.0195637,0.0194083
-0.99,0.14,0.01951,0.0193551
-0.99,0.15,0.0194523,0.019298
-0.99,0.16,0.0193906,0.0192369
-0.99,0.17,0.0193249,0.0191719
-0.99,0.18,0.0192552,0.019103
-0.99,0.19,0.0191816,0.0190301
-0.99,0.2,0.019104,0.0189532
-0.99,0.21,0.0190224,0.0188724
-0.99,0.22,0.0189368,0.0187877
-0.99,0.23,0.0188473,0.018699
-0.99,0.24,0.0187538,0.0186064
-0.99,0.25,0.0186563,0.0185099
-0.99,0.26,0.0185548,0.0184094
-0.99,0.27,0.0184493,0.0183049
-0.99,0.28,0.0183398,0.0181965
-0.99,0.29,0.0182264,0.0180842
-0.99,0.3,0.018109,0.0179679
-0.99,0.31,0.0179876,0.0178477
-0.99,0.32,0.0178622,0.0177235
-0.99,0.33,0.0177329,0.0175954
-0.99,0.34,0.0175996,0.0174633
-0.99,0.35,0.0174623,0.0173273
-0.99,0.36,0.017321,0.0171874
-0.99,0.37,0.0171757,0.0170435
-0.99,0.38,0.0170264,0.0168956
-0.99,0.39,0.0168732,0.0167438
-0.99,0.4,0.016716,0.0165881
-0.99,0.41,0.0165548,0.0164284
-0.99,0.42,0.0163896,0.0162647
-0.99,0.43,0.0162205,0.0160971
-0.99,0.44,0.0160474,0.0159256
-0.99,0.45,0.0158703,0.0157501
-0.99,0.46,0.0156892,0.0155706
-0.99,0.47,0.0155041,0.0153872
-0.99,0.48,0.015315,0.0151999
-0.99,0.49,0.015122,0.0150086
-0.99,0.5,0.014925,0.0148133
-0.99,0.51,0.014724,0.0146141
-0.99,0.52,0.014519,0.0144109
-0.99,0.53,0.0143101,0.0142038
-0.99,0.54,0.0140972,0.0139928
-0.99,0.55,0.0138803,0.0137777
-0.99,0.56,0.0136594,0.0135587
-0.99,0.57,0.0134345,0.0133358
-0.99,0.58,0.0132056,0.0131089
-0.99,0.59,0.0129728,0.0128781
-0.99,0.6,0.012736,0.0126433
-0.99,0.61,0.0124952,0.0124045
-0.99,0.62,0.0122504,0.0121618
-0.99,0.63,0.0120017,0.0119151
-0.99,0.64,0.011749,0.0116645
-0.99,0.65,0.0114923,0.0114099
-0.99,0.66,0.0112316,0.0111513
-0.99,0.67,0.0109669,0.0108888
-0.99,0.68,0.0106982,0.0106223
-0.99,0.69,0.0104256,0.0103519
-0.99,0.7,0.010149,0.0100775
-0.99,0.71,0.00986841,0.0097991
-0.99,0.72,0.00958384,0.00951677
-0.99,0.73,0.00929529,0.00923047
-0.99,0.74,0.00900276,0.00894021
-0.99,0.75,0.00870625,0.00864599
-0.99,0.76,0.00840576,0.0083478
-0.99,0.77,0.00810129,0.00804564
-0.99,0.78,0.00779284,0.00773952
-0.99,0.79,0.00748041,0.00742943
-0.99,0.8,0.007164,0.00711537
-0.99,0.81,0.00684361,0.00679734
-0.99,0.82,0.00651924,0.00647534
-0.99,0.83,0.00619089,0.00614938
-0.99,0.84,0.00585856,0.00581944
-0.99,0.85,0.00552225,0.00548553
-0.99,0.86,0.00518196,0.00514765
-0.99,0.87,0.00483769,0.0048058
-0.99,0.88,0.00448944,0.00445998
-0.99,0.89,0.00413721,0.00411018
-0.99,0.9,0.003781,0.00375641
-0.99,0.91,0.00342081,0.00339867
-0.99,0.92,0.00305664,0.00303694
-0.99,0.93,0.00268849,0.00267125
-0.99,0.94,0.00231636,0.00230158
-0.99,0.95,0.00194025,0.00192793
-0.99,0.96,0.00156016,0.0015503
-0.99,0.97,0.00117609,0.00116869
-0.99,0.98,0.00078804,0.000783108
-0.99,0.99,0.00039601,0.000393544
-0.98,-0.99,0.00078804,0.000782987
-0.98,-0.98,0.00156816,0.00155806
-0.98,-0.97,0.00234036,0.00232521
-0.98,-0.96,0.00310464,0.00308445
-0.98,-0.95,0.003861,0.00383577
-0.98,-0.94,0.00460944,0.00457918
-0.98,-0.93,0.00534996,0.00531469
-0.98,-0.92,0.00608256,0.00604228
-0.98,-0.91,0.00680724,0.00676196
-0.98,-0.9,0.007524,0.00747373
