x,Numerical solution,Analytical solution
0,4.68078,5
0.125,2.9111,4.05482
0.25,1.56896,1.57661
0.375,-1.4904,-1.49767
0.5,-3.98627,-4.00572
0.625,-4.97504,-4.99931
0.75,-4.08288,-4.1028
0.875,-1.64709,-1.65512
1,1.41142,1.41831
1.125,3.93631,3.95552
1.25,4.97298,4.99725
1.375,4.1295,4.14965
1.5,1.72476,1.73318
1.625,-1.33206,-1.33856
1.75,-3.88527,-3.90423
1.875,-4.96956,-4.99381
2,-4.17499,-4.19536
2.125,-1.80196,-1.81075
2.25,1.25234,1.25845
2.375,3.83316,3.85186
2.5,4.96477,4.98899
2.625,4.21933,4.23991
2.75,1.87867,1.88783
2.875,0.366947,-1.17799
3,-2.5725,-3.79844
