x,Numerical solution,Analytical solution
0,5,5
3.00003e-05,5,5
6.00006e-05,5,5
9.00009e-05,5,5
0.000120001,5,5
0.000150001,5,5
0.000180002,5,5
0.000210002,5,5
0.000240002,5,5
0.000270003,4.99999,5
0.000300003,5,4.99999
0.000330003,4.99999,4.99999
0.000360004,4.99999,4.99999
0.000390004,4.99999,4.99999
0.000420004,4.99999,4.99999
0.000450005,4.99999,4.99999
0.000480005,4.99998,4.99999
0.000510005,4.99999,4.99998
0.000540005,4.99998,4.99998
0.000570006,4.99998,4.99998
0.000600006,4.99998,4.99998
0.000630006,4.99997,4.99998
0.000660007,4.99997,4.99997
0.000690007,4.99997,4.99997
0.000720007,4.99997,4.99997
0.000750007,4.99997,4.99996
0.000780008,4.99996,4.99996
0.000810008,4.99995,4.99996
0.000840008,4.99996,4.99996
0.000870009,4.99996,4.99995
0.000900009,4.99995,4.99995
0.000930009,4.99994,4.99995
0.00096001,4.99994,4.99994
0.00099001,4.99995,4.99994
0.00102001,4.99992,4.99994
0.00105001,4.99994,4.99993
0.00108001,4.99995,4.99993
0.00111001,4.99992,4.99992
0.00114001,4.99991,4.99992
0.00117001,4.99991,4.99991
0.00120001,4.99991,4.99991
0.00123001,4.99991,4.99991
0.00126001,4.9999,4.9999
0.00129001,4.99989,4.9999
0.00132001,4.99989,4.99989
0.00135001,4.99988,4.99989
0.00138001,4.99989,4.99988
0.00141001,4.99988,4.99988
0.00144001,4.99986,4.99987
0.00147001,4.99987,4.99987
0.00150001,4.99987,4.99986
0.00153002,4.99986,4.99985
0.00156002,4.99983,4.99985
0.00159002,4.99985,4.99984
0.00162002,4.99987,4.99984
0.00165002,4.99981,4.99983
0.00168002,4.9998,4.99982
0.00171002,4.99983,4.99982
0.00174002,4.99981,4.99981
0.00177002,4.99983,4.9998
0.00180002,4.99981,4.9998
0.00183002,4.99979,4.99979
0.00186002,4.99977,4.99978
0.00189002,4.99977,4.99978
0.00192002,4.99979,4.99977
0.00195002,4.99975,4.99976
0.00198002,4.99971,4.99975
0.00201002,4.99975,4.99975
0.00204002,4.99979,4.99974
0.00207002,4.99972,4.99973
0.00210002,4.99972,4.99972
0.00213002,4.99976,4.99972
0.00216002,4.99969,4.99971
0.00219002,4.99969,4.9997
0.00222002,4.9997,4.99969
0.00225002,4.99967,4.99968
0.00228002,4.99966,4.99968
0.00231002,4.99965,4.99967
0.00234002,4.99969,4.99966
0.00237002,4.99963,4.99965
0.00240002,4.99965,4.99964
0.00243002,4.99964,4.99963
0.00246002,4.9996,4.99962
0.00249002,4.99961,4.99961
0.00252003,4.9996,4.9996
0.00255003,4.99961,4.99959
0.00258003,4.99959,4.99958
0.00261003,4.99957,4.99957
0.00264003,4.99956,4.99956
0.00267003,4.99956,4.99955
0.00270003,4.99956,4.99954
0.00273003,4.99954,4.99953
0.00276003,4.99953,4.99952
0.00279003,4.9995,4.99951
0.00282003,4.9995,4.9995
0.00285003,4.99948,4.99949
0.00288003,4.9995,4.99948
0.00291003,4.99948,4.99947
0.00294003,4.99943,4.99946
0.00297003,4.99945,4.99945
0.00300003,4.99944,4.99944
0.00303003,4.99943,4.99943
0.00306003,4.99938,4.99941
0.00309003,4.99942,4.9994
0.00312003,4.99939,4.99939
0.00315003,4.99931,4.99938
0.00318003,4.99939,4.99937
0.00321003,4.99943,4.99936
0.00324003,4.99935,4.99934
0.00327003,4.99932,4.99933
0.00330003,4.99933,4.99932
0.00333003,4.99929,4.99931
0.00336003,4.99925,4.99929
0.00339003,4.99929,4.99928
0.00342003,4.99934,4.99927
0.00345003,4.99925,4.99926
0.00348003,4.99921,4.99924
0.00351004,4.99923,4.99923
0.00354004,4.99919,4.99922
0.00357004,4.9992,4.9992
0.00360004,4.9992,4.99919
0.00363004,4.99919,4.99918
0.00366004,4.99918,4.99916
0.00369004,4.99913,4.99915
0.00372004,4.99912,4.99914
0.00375004,4.99911,4.99912
0.00378004,4.9991,4.99911
0.00381004,4.99908,4.99909
0.00384004,4.99911,4.99908
0.00387004,4.99913,4.99906
0.00390004,4.99904,4.99905
0.00393004,4.99898,4.99903
0.00396004,4.99901,4.99902
0.00399004,4.99898,4.999
0.00402004,4.99899,4.99899
0.00405004,4.99902,4.99897
0.00408004,4.99894,4.99896
0.00411004,4.99897,4.99894
0.00414004,4.9989,4.99893
0.00417004,4.99887,4.99891
0.00420004,4.99884,4.9989
0.00423004,4.99893,4.99888
0.00426004,4.99894,4.99887
0.00429004,4.99886,4.99885
0.00432004,4.99883,4.99883
0.00435004,4.9988,4.99882
0.00438004,4.9988,4.9988
0.00441004,4.99884,4.99878
0.00444004,4.9988,4.99877
0.00447004,4.99872,4.99875
0.00450004,4.99873,4.99873
0.00453005,4.99872,4.99872
0.00456005,4.99867,4.9987
0.00459005,4.99867,4.99868
0.00462005,4.9987,4.99867
0.00465005,4.99873,4.99865
0.00468005,4.9986,4.99863
0.00471005,4.99859,4.99861
0.00474005,4.99862,4.9986
0.00477005,4.99852,4.99858
0.00480005,4.99859,4.99856
0.00483005,4.99857,4.99854
0.00486005,4.99851,4.99852
0.00489005,4.99849,4.99851
0.00492005,4.99847,4.99849
0.00495005,4.99849,4.99847
0.00498005,4.99842,4.99845
0.00501005,4.99844,4.99843
0.00504005,4.99845,4.99841
0.00507005,4.99837,4.99839
0.00510005,4.99835,4.99837
0.00513005,4.99836,4.99836
0.00516005,4.99832,4.99834
0.00519005,4.99833,4.99832
0.00522005,4.99833,4.9983
0.00525005,4.99829,4.99828
0.00528005,4.99821,4.99826
0.00531005,4.99817,4.99824
0.00534005,4.99825,4.99822
0.00537005,4.9982,4.9982
0.00540005,4.99816,4.99818
0.00543005,4.99815,4.99816
0.00546005,4.99814,4.99814
0.00549005,4.99817,4.99812
0.00552006,4.99807,4.9981
0.00555006,4.99811,4.99808
0.00558006,4.99805,4.99805
0.00561006,4.99803,4.99803
0.00564006,4.99801,4.99801
0.00567006,4.99803,4.99799
0.00570006,4.99801,4.99797
0.00573006,4.9979,4.99795
0.00576006,4.99792,4.99793
0.00579006,4.99793,4.9979
0.00582006,4.9979,4.99788
0.00585006,4.99783,4.99786
0.00588006,4.99784,4.99784
0.00591006,4.99784,4.99782
0.00594006,4.99776,4.9978
0.00597006,4.99776,4.99777
0.00600006,4.9978,4.99775
0.00603006,4.99772,4.99773
0.00606006,4.99768,4.9977
0.00609006,4.99768,4.99768
0.00612006,4.99762,4.99766
0.00615006,4.99761,4.99764
0.00618006,4.99764,4.99761
0.00621006,4.99759,4.99759
0.00624006,4.99761,4.99757
0.00627006,4.99756,4.99754
0.00630006,4.9975,4.99752
0.00633006,4.99741,4.9975
0.00636006,4.99742,4.99747
0.00639006,4.99752,4.99745
0.00642006,4.99744,4.99742
0.00645006,4.99742,4.9974
0.00648006,4.99734,4.99738
0.00651006,4.99735,4.99735
0.00654007,4.99728,4.99733
0.00657007,4.99728,4.9973
0.00660007,4.99733,4.99728
0.00663007,4.9972,4.99725
0.00666007,4.99733,4.99723
0.00669007,4.99716,4.9972
0.00672007,4.99712,4.99718
0.00675007,4.99712,4.99715
0.00678007,4.99722,4.99713
0.00681007,4.99713,4.9971
0.00684007,4.99702,4.99708
0.00687007,4.99715,4.99705
0.00690007,4.99699,4.99702
0.00693007,4.99702,4.997
0.00696007,4.99692,4.99697
0.00699007,4.99693,4.99695
0.00702007,4.99695,4.99692
0.00705007,4.99683,4.99689
0.00708007,4.99697,4.99687
0.00711007,4.99677,4.99684
0.00714007,4.99678,4.99681
