x,y,Analytical solution,Numerical solution
-0.951219,-0.951219,0.00905951,0.00900114
-0.951219,-0.902439,0.017666,0.0175493
-0.951219,-0.853659,0.0258196,0.0256459
-0.951219,-0.804878,0.0335202,0.0332894
-0.951219,-0.756098,0.0407678,0.0404828
-0.951219,-0.707317,0.0475624,0.0472231
-0.951219,-0.658537,0.0539041,0.0535144
-0.951219,-0.609756,0.0597928,0.0593528
-0.951219,-0.560976,0.0652285,0.0647433
-0.951219,-0.512195,0.0702112,0.0696809
-0.951219,-0.463415,0.0747409,0.0741717
-0.951219,-0.414634,0.0788177,0.0782095
-0.951219,-0.365854,0.0824415,0.0818015
-0.951219,-0.317073,0.0856124,0.0849405
-0.951219,-0.268293,0.0883302,0.0876344
-0.951219,-0.219512,0.0905951,0.0898754
-0.951219,-0.170732,0.092407,0.0916718
-0.951219,-0.121951,0.0937659,0.0930152
-0.951219,-0.0731708,0.0946719,0.0939144
-0.951219,-0.0243903,0.0951248,0.0943607
-0.951219,0.0243902,0.0951248,0.0943629
-0.951219,0.0731707,0.0946719,0.0939122
-0.951219,0.121951,0.0937659,0.0930174
-0.951219,0.170732,0.092407,0.0916696
-0.951219,0.219512,0.0905951,0.0898775
-0.951219,0.268293,0.0883302,0.0876324
-0.951219,0.317073,0.0856124,0.0849425
-0.951219,0.365854,0.0824415,0.0817996
-0.951219,0.414634,0.0788177,0.0782113
-0.951219,0.463415,0.074741,0.07417
-0.951219,0.512195,0.0702112,0.0696825
-0.951219,0.560976,0.0652285,0.0647419
-0.951219,0.609756,0.0597928,0.0593541
-0.951219,0.658537,0.0539041,0.0535133
-0.951219,0.707317,0.0475624,0.0472241
-0.951219,0.756098,0.0407678,0.0404819
-0.951219,0.804878,0.0335202,0.0332901
-0.951219,0.853658,0.0258196,0.0256454
-0.951219,0.902439,0.017666,0.0175496
-0.951219,0.951219,0.00905952,0.00900097
-0.902439,-0.951219,0.017666,0.0175493
-0.902439,-0.902439,0.0344488,0.0342167
-0.902439,-0.853659,0.0503482,0.0500007
-0.902439,-0.804878,0.0653644,0.0649056
-0.902439,-0.756098,0.0794972,0.0789271
-0.902439,-0.707317,0.0927467,0.092072
-0.902439,-0.658537,0.105113,0.104334
-0.902439,-0.609756,0.116596,0.115721
-0.902439,-0.560976,0.127196,0.126225
-0.902439,-0.512195,0.136912,0.135857
-0.902439,-0.463415,0.145745,0.144606
-0.902439,-0.414634,0.153695,0.152485
-0.902439,-0.365854,0.160761,0.159481
-0.902439,-0.317073,0.166944,0.165608
-0.902439,-0.268293,0.172244,0.170852
